name,category,description,compatibility,tools,mcp_servers,repo,license
change-management-consultant,backend,"Expert change management specialist using ADKAR, Kotter, and Prosci frameworks to guide organizations through technology",fully-compatible,,,Raheel2774/agency-agents,MIT
chief-financial-officer,backend,"Strategic finance executive who governs capital allocation, treasury operations, financial planning, M&A finance, invest",fully-compatible,,,Raheel2774/agency-agents,MIT
code-refactorer,backend,"Use this agent when you need to improve existing code structure, readability, or maintainability without changing functi",fully-compatible,edit_file|write_file|grep|list_dir|read_file,,iannuttall/claude-agents,MIT
codebase-onboarding-engineer,backend,Expert developer onboarding specialist who helps new engineers understand unfamiliar codebases fast by reading source co,fully-compatible,,,Raheel2774/agency-agents,MIT
cs-andreessen,backend,Marc Andreessen-mode operator. Runs on a fixed anti-sycophancy operating prompt — leads with the strongest counterargume,fully-compatible,read_file|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-backend-engineer,backend,"Backend-engineering orchestrator. Walks the 7 Matt Pocock forcing questions (read/write ratio + QPS, tenancy, sync vs as",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-caio-advisor,backend,"Eval-demanding Chief AI Officer advisor for model build-vs-buy decisions, AI risk classification under EU AI Act + US st",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-cfo-advisor,backend,"Numerate-skeptic CFO advisor for unit economics, runway, fundraising, dilution, and board-grade financial decisions",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-engineering-lead,backend,"Engineering Team Lead agent for coordinating QA, security, data engineering, ML, and frontend/backend teams. Orchestrate",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-scraping-architect,backend,"Use when the user wants to scrape a website, crawl docs, extract data from PDFs/Excel/CSV/HTML, parse an API response in",fully-compatible,read_file|write_file|edit_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-weekly-review,backend,"Walks a user through a complete GTD weekly review — GET CLEAR (collect, process inboxes to zero, empty your head), GET C",fully-compatible,read_file|glob|grep|run_shell_command,,alirezarezvani/claude-skills,MIT
darwin,backend,"Charles Darwin reasoning pattern — long-horizon patient observation, systematic collection of variation",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
django-developer,backend,"Expert Django developer mastering Django 4+ with modern Python practices. Specializes in scalable web applications, REST",needs-tool-mapping,read_file|write_file|run_shell_command|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents,MIT;MIT
django-expert,backend,"Write expert Django code with optimized models, views, and templates. Handles complex queries, middleware, and RESTful A",fully-compatible,,,0xfurai/claude-code-subagents,MIT
einstein,backend,Albert Einstein reasoning pattern — gedankenexperiment (ride the phenomenon in your mind),requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
ekman,backend,Paul Ekman reasoning pattern — anchor subjective experience to observable anatomical units,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
fastapi-developer,backend,"Use when building modern async Python APIs with FastAPI, implementing Pydantic v2 validation, dependency injection patte",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
fastapi-expert,backend,"FastAPI development with an emphasis on best practices, optimization, and robust design patterns.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
fullstack-developer-backend,backend,Use when one bounded feature or bug spans frontend and backend and a single worker should own the entire path.,fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
gadamer,backend,Hans-Georg Gadamer reasoning pattern — treat interpretation as a fusion of the text's horizon with the interpreter's pre,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
geertz,backend,Clifford Geertz reasoning pattern — produce thick description (behavior plus the webs of meaning that make it intelligib,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
gin-expert,backend,"Create a Claude Code Agent that is an expert in the Gin web framework for Go, focusing on efficient web server implement",fully-compatible,,,0xfurai/claude-code-subagents,MIT
ginzburg,backend,"Carlo Ginzburg reasoning pattern — evidential paradigm, marginal-detail-as-signature",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
golang-pro-backend,backend,"Expert Go developer specializing in high-performance systems, concurrent programming, and cloud-native microservices. Ma",needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
graphql-architect,backend,"A highly specialized AI agent for designing, implementing, and optimizing high-performance, scalable, and secure GraphQL",requires-mcp,read_file|write_file|edit_file|grep|glob|run_shell_command|list_dir|web_search|web_fetch|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,lst97/claude-code-sub-agents;VoltAgent/awesome-claude-code-subagents;JosephHampton/awesome-gemini-cli-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT;NOASSERTION;MIT
graphql-expert,backend,"Expert in GraphQL API design, query optimization, and implementation. Master introspection, schemas, and GraphQL best pr",fully-compatible,,,0xfurai/claude-code-subagents,MIT
growth-hacker,backend,Expert growth strategist specializing in rapid user acquisition through data-driven experimentation. Develops viral loop,fully-compatible,web_fetch|web_search|read_file|write_file|edit_file,,Raheel2774/agency-agents,MIT
hospitality-guest-services,backend,"Comprehensive hospitality guest services specialist for hotels, resorts, restaurants, and event venues — covering reserv",fully-compatible,,,Raheel2774/agency-agents,MIT
java-pro,backend,"Expert in modern, idiomatic Java and the JVM ecosystem. Use for Spring services, concurrency, streams, and migrating leg",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
javascript-pro-backend,backend,"Expert JavaScript developer specializing in modern ES2023+ features, asynchronous programming, and full-stack developmen",needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents;wshobson/agents,MIT;MIT
jobs,backend,Steve Jobs reasoning pattern — the integrated experience IS the spec,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
keycloak-expert,backend,"Keycloak specialist for identity and access management, realm configuration, and user federation.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
laravel-pro,backend,"Expert in PHP and Laravel. Use for Eloquent modelling, queues, API design, testing with Pest, and taming legacy Laravel ",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
laravel-specialist-backend,backend,"Expert Laravel specialist mastering Laravel 10+ with modern PHP practices. Specializes in elegant syntax, Eloquent ORM, ",needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents,MIT
legal-advisor-backend,backend,"Expert legal advisor specializing in technology law, compliance, and risk mitigation. Masters contract drafting, intelle",needs-tool-mapping,read_file|write_file|web_fetch|web_search,,ankitmundada/awesome-gemini-cli-subagents,MIT
legal-client-intake,backend,"Comprehensive legal client intake specialist for qualifying prospects, collecting case information, scheduling consultat",fully-compatible,,,Raheel2774/agency-agents,MIT
liskov,backend,Barbara Liskov reasoning pattern — the contract IS the interface,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
lsp-index-engineer,backend,Language Server Protocol specialist building unified code intelligence systems through LSP client orchestration and sema,fully-compatible,,,Raheel2774/agency-agents,MIT
mandelbrot,backend,"Benoit Mandelbrot reasoning pattern — scale-free pattern detection, roughness as measurable parameter",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
mcclintock,backend,Barbara McClintock reasoning pattern — deep observation of a single specimen,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
mcp-developer-backend,backend,Expert MCP developer specializing in Model Context Protocol server and client development. Masters protocol specificatio,needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
mendeleev,backend,Dmitri Mendeleev reasoning pattern — tabulate systematically along the right axes,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
microservices-architect,backend,"Distributed systems architect designing scalable microservice ecosystems. Masters service boundaries, communication patt",needs-tool-mapping,read_file|write_file|run_shell_command|glob,,ankitmundada/awesome-gemini-cli-subagents;JosephHampton/awesome-gemini-cli-subagents,MIT;NOASSERTION
midgley,backend,Mary Midgley reasoning pattern — metaphor audit for exposing the hidden metaphors silently shaping reasoning,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
minecraft-bukkit-pro,backend,"Master Minecraft server plugin development with Bukkit, Spigot, and Paper APIs. Specializes in event-driven architecture",fully-compatible,,,wshobson/agents,MIT
minimal-change-engineer,backend,"Engineering specialist focused on minimum-viable diffs — fixes only what was asked, refuses scope creep, prefers three s",fully-compatible,,,Raheel2774/agency-agents,MIT
nextjs-developer-backend,backend,"Use when a task needs Next.js-specific work across routing, rendering modes, server actions, data fetching, or deploymen",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
nextjs-pro,backend,"Expert in Next.js App Router, server components, and rendering strategy. Use for routing, data fetching, server vs clien",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
node-specialist,backend,"Use this agent when you need to build, optimize, or debug Node.js backend applications, APIs, CLIs, or microservices req",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
noether,backend,Emmy Noether reasoning pattern — find the invariance group before solving the dynamics,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
openai-api-expert,backend,"Trained to expertly handle OpenAI API features, usage patterns, and best practices.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
openapi-expert,backend,"Expert in designing, documenting, and optimizing APIs using OpenAPI specifications.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
orchestrate,backend,"Product Orchestrator agent. Reads the active story file, asks clarifying product questions one at a time, confirms task ",fully-compatible,,,wshobson/agents,MIT
paid-social-strategist,backend,"Cross-platform paid social advertising specialist covering Meta (Facebook/Instagram), LinkedIn, TikTok, Pinterest, X, an",fully-compatible,web_fetch|web_search|read_file|write_file|edit_file|run_shell_command,,Raheel2774/agency-agents,MIT
payment-integration-backend,backend,"Integrate Stripe, PayPal, and payment processors. Handles checkout flows, subscriptions, webhooks, and PCI compliance. U",fully-compatible,,,wshobson/agents,MIT
php-expert,backend,"Specialized in developing efficient, secure, and modern PHP applications adhering to best practices.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
php-pro-backend,backend,"Use when a task needs PHP expertise for application logic, framework integration, runtime debugging, or server-side code",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
product-manager-backend,backend,"Use when a task needs product framing, prioritization, or feature-shaping based on engineering reality and user impact.",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
rails-expert-backend,backend,"Expert Rails specialist mastering Rails 8.1 with modern conventions. Specializes in convention over configuration, Hotwi",needs-tool-mapping,read_file|write_file|run_shell_command,,ankitmundada/awesome-gemini-cli-subagents,MIT
rails-pro,backend,"Expert in Ruby on Rails. Use for Rails APIs and apps, Active Record modelling, Hotwire, background jobs, and upgrade wor",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
ramanujan,backend,Srinivasa Ramanujan reasoning pattern — pattern-first conjecture generation from computed special cases,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
rapid-prototyper,backend,Specialized in ultra-fast proof-of-concept development and MVP creation using efficient tools and frameworks,fully-compatible,,,Raheel2774/agency-agents,MIT
refactoring-specialist-backend,backend,"Use when you need to transform poorly structured, complex, or duplicated code into clean, maintainable systems while pre",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
rest-expert,backend,"Master in designing and implementing RESTful APIs with focus on best practices, HTTP methods, status codes, and resource",fully-compatible,,,0xfurai/claude-code-subagents,MIT
rogerfisher,backend,Roger Fisher reasoning pattern — principled negotiation separating interests from positions,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
sales-engineer,backend,"Senior pre-sales engineer specializing in technical discovery, demo engineering, POC scoping, competitive battlecards, a",fully-compatible,,,Raheel2774/agency-agents,MIT
schon,backend,Donald Schon reasoning pattern — reflection-in-action (thinking about what you're doing while doing it),requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
secrets-detector,backend,Detects committed secrets and credentials so they can be removed and rotated. Use to scan a repo defensively before maki,needs-tool-mapping,read_file|glob|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
slack-expert,backend,"Use this agent when developing Slack applications, implementing Slack API integrations, or reviewing Slack bot code for ",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep|web_fetch|web_search,,VoltAgent/awesome-claude-code-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT
social-publishing-publisher,backend,"Agent-first social media publishing specialist. Use this agent to schedule and publish posts across 13 platforms (X, Lin",fully-compatible,read_file|write_file|run_shell_command|web_fetch,,wshobson/agents,MIT
spec-reviewer,backend,"You are a specification reviewer dispatched by Godmode's think skill. Your job is to evaluate a spec for completeness, c",requires-manual-conversion,,,arbazkhan971/godmode,MIT
spring-boot-engineer-backend,backend,"Use when a task needs Spring Boot expertise for service behavior, configuration, data access, or enterprise API implemen",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
stripe-expert,backend,"This agent specializes in managing and optimizing Stripe integrations, handling payments, managing subscriptions, and ut",fully-compatible,,,0xfurai/claude-code-subagents,MIT
